date,is_peak_day,peak_probability
2025-10-02,1,0.9993674
2025-10-03,0,0.014631886
2025-10-04,0,0.00023306429
2025-10-05,0,0.000101447025
2025-10-06,1,0.9991536
2025-10-07,1,0.99945253
2025-10-08,1,0.99972826
2025-10-09,0,0.00040550748
2025-10-10,0,0.0005620249
2025-10-11,0,0.00012251874
2025-10-12,0,0.00024801504
2025-10-13,1,0.9986771
2025-10-14,1,0.9993617
2025-10-15,1,0.99986434
2025-10-16,1,0.99848014
2025-10-17,1,0.9934017
2025-10-18,0,0.0008749711
2025-10-19,0,0.00023717577
2025-10-20,0,0.0006001619
2025-10-21,0,0.00053473795
2025-10-22,0,0.00015900815
2025-10-23,0,0.0012968879
2025-10-24,1,0.9877144
2025-10-25,0,0.0005173913
2025-10-26,0,0.00013583426
2025-10-27,1,0.9985561
2025-10-28,0,0.017551277
2025-10-29,1,0.9955114
2025-10-30,0,0.003569634
2025-10-31,0,7.8586134e-05
2025-11-01,0,0.00015204812
2025-11-02,0,0.00012643117
2025-11-03,1,0.9947548
2025-11-04,0,0.00028185963
2025-11-05,0,9.005082e-05
2025-11-06,0,0.0005832221
2025-11-07,0,4.5364763e-05
2025-11-08,0,0.00020346539
2025-11-09,0,0.0019039758
2025-11-10,0,0.9458686
2025-11-11,0,0.00025024117
2025-11-12,0,7.183683e-05
2025-11-13,0,3.5956156e-05
2025-11-14,0,2.930363e-05
2025-11-15,0,4.6459998e-05
2025-11-16,0,0.000117837815
2025-11-17,1,0.9924838
2025-11-18,0,0.018148761
2025-11-19,0,0.00084466045
2025-11-20,0,0.0006728833
2025-11-21,1,0.993806
2025-11-22,0,0.0007382804
2025-11-23,0,5.3663207e-05
2025-11-24,0,0.00017372759
2025-11-25,0,0.0007426303
2025-11-26,1,0.9944112
2025-11-27,1,0.99822503
2025-11-28,1,0.99149805
2025-11-29,0,8.8215806e-05
2025-11-30,0,5.761708e-05
2025-12-01,1,0.99902356
2025-12-02,0,0.004738044
2025-12-03,0,0.0002514933
2025-12-04,0,7.506209e-05
2025-12-05,0,4.4591045e-05
2025-12-06,0,7.269209e-05
2025-12-07,0,0.00030933475
2025-12-08,0,0.0004459037
2025-12-09,0,0.008287196
2025-12-10,0,0.00043972806
2025-12-11,0,0.0001395811
2025-12-12,0,0.00018909977
2025-12-13,0,0.00011596964
2025-12-14,0,8.8495035e-05
2025-12-15,0,0.00023253247
2025-12-16,0,0.0031079787
2025-12-17,1,0.9866636
2025-12-18,0,9.423212e-05
2025-12-19,0,0.00011923532
2025-12-20,0,4.726141e-05
2025-12-21,0,4.5108172e-05
2025-12-22,0,0.00024336345
2025-12-23,0,0.00013160844
2025-12-24,0,0.0001529466
2025-12-25,0,0.00019651478
2025-12-26,0,0.00021761579
2025-12-27,0,8.1387436e-05
2025-12-28,0,5.1749634e-05
2025-12-29,1,0.99973553
2025-12-30,0,0.0003374757
