hour,mean,min,max
0,75.47198717948719,0.0,158.44
1,75.98861824014666,0.0,204.74
2,68.62937671860678,-5.0,225.0
3,48.33869156736938,-5.0,155.13
4,67.90248854262146,-4.0,220.0
5,96.98835129557442,0.0,240.0
6,73.14128415300546,0.16,125.2
7,86.1267032967033,6.0,159.86
8,91.0160164835165,14.0,161.42
9,73.46574175824175,0.0,161.42
10,54.36807692307692,-0.1,113.51
11,42.947774725274726,-0.99,110.43
12,40.11057692307692,-1.8,105.1
13,37.339423076923076,-2.5,105.0
14,37.67739010989011,-2.64,110.0
15,43.27571428571429,-2.1,112.3
16,55.60892857142858,-0.99,122.53
17,75.72516483516483,-0.45,140.39
18,92.5575,0.65,150.43
19,105.6778021978022,35.01,180.81
20,113.11950549450549,45.68,230.0
21,105.21156593406594,29.57,182.59
22,93.16,19.5,150.0
23,83.24035714285715,7.05,127.52
