year_month,monthly_avg
2023-01,69.69611111111111
2023-02,134.00239197530865
2023-03,89.96323574100047
2023-04,76.95929166666666
2023-05,75.79120833333333
2023-06,95.58669444444445
2023-07,93.79987903225806
2023-08,97.85916666666667
2023-09,104.14769444444444
2023-10,89.84939677419354
2023-11,63.25809722222222
2023-12,72.20420698924731
2024-01,74.07954301075269
2024-02,39.85610632183908
2024-03,19.259022323515662
2024-04,13.226180555555555
2024-05,30.736102150537633
2024-06,58.11048611111111
2024-07,74.11614247311827
2024-08,91.11245967741935
2024-09,73.62676388888889
2024-10,69.4076435483871
2024-11,104.59656944444444
2024-12,111.53599462365591
2025-01,96.73145161290323
2025-02,108.21598214285714
2025-03,53.07251509661835
2025-04,25.906430555555556
2025-05,25.793817204301074
2025-06,74.17316666666667
2025-07,70.10338709677418
2025-08,68.67584677419354
2025-09,61.18973611111111
2025-10,76.4997315860215
2025-11,59.08551736111111
2025-12,77.24132291666666
